datetime,prec_mm,tavg_degc,swe_mm,flow_cms
2020-03-23,0.0,-1.0000000000000004,599.44,26.194038644510204
2020-03-24,10.16,-2.8999999999999995,599.44,25.939177727969025
2020-03-25,2.54,-7.000000000000001,609.5999999999999,23.928608275255268
2020-03-26,2.54,-10.6,609.5999999999999,21.06850243407091
2020-03-27,0.0,-7.6000000000000005,609.5999999999999,19.879151490212067
2020-03-28,5.08,-3.5000000000000004,609.5999999999999,18.944661462894405
2020-03-29,5.08,-2.5,609.5999999999999,18.20839659288655
2020-03-30,27.94,-0.700000000000001,614.68,18.349985990964985
2020-03-31,38.099999999999994,-2.9999999999999996,642.62,22.739257331396427
2020-04-01,2.54,-8.200000000000001,680.72,25.344502256039604
2020-04-02,0.0,-10.6,680.72,23.13570764601604
2020-04-03,0.0,-8.0,680.72,21.974674581772884
2020-04-04,2.54,-2.4000000000000004,680.72,21.23840971176503
2020-04-05,7.619999999999999,1.1999999999999982,680.72,21.436634869074837
2020-04-06,10.16,1.400000000000002,685.8,22.994118247937607
2020-04-07,0.0,0.4999999999999992,695.9599999999999,26.165720764894516
2020-04-08,0.0,2.4000000000000004,695.9599999999999,31.432846373412247
2020-04-09,2.54,4.6000000000000005,695.9599999999999,38.79549507349079
2020-04-10,2.54,6.199999999999998,698.5,48.70675293898114
2020-04-11,0.0,1.8000000000000012,701.04,56.91893802753028
2020-04-12,0.0,-5.0,701.04,50.40582571592234
2020-04-13,0.0,-6.699999999999999,701.04,43.32635581200066
2020-04-14,0.0,-1.4999999999999998,698.5,38.51231627733392
2020-04-15,7.619999999999999,-0.8000000000000007,693.42,37.66277988886332
2020-04-16,0.0,-4.6000000000000005,701.04,36.24688590807899
2020-04-17,0.0,-2.000000000000001,701.04,34.83099192729465
2020-04-18,0.0,2.5,701.04,37.096422296549584
2020-04-19,0.0,2.9999999999999996,695.9599999999999,40.211389054275124
2020-04-20,0.0,3.199999999999999,688.34,45.30860738509873
2020-04-21,0.0,4.500000000000001,678.18,52.38807728902041
2020-04-22,2.54,4.200000000000001,662.94,58.90118960062835
2020-04-23,15.239999999999998,1.0999999999999983,662.94,68.52926866996184
2020-04-24,2.54,0.29999999999999954,670.56,69.09562626227556
2020-04-25,2.54,4.700000000000001,670.56,61.44979876604015
2020-04-26,2.54,5.999999999999999,673.0999999999999,63.71522913529509
2020-04-27,2.54,5.2,655.3199999999999,77.02463255466785
2020-04-28,0.0,6.500000000000002,652.78,77.02463255466785
2020-04-29,0.0,9.400000000000002,640.0799999999999,81.55549329317772
2020-04-30,5.08,5.999999999999999,624.84,100.81165143184468
2020-05-01,0.0,4.000000000000002,612.14,116.38648522047237
2020-05-02,2.54,6.600000000000001,596.9,99.67893624721721
2020-05-03,0.0,2.1000000000000005,586.74,92.31628754713867
2020-05-04,0.0,1.300000000000002,571.5,85.51999643937386
2020-05-05,0.0,6.900000000000001,561.34,79.85642051623651
2020-05-06,2.54,3.3999999999999986,556.2599999999999,79.85642051623651
2020-05-07,0.0,1.8000000000000012,558.8,74.47602338925604
2020-05-08,2.54,4.9,546.1,71.3610566315305
2020-05-09,0.0,7.1000000000000005,520.6999999999999,72.2105930200011
2020-05-10,0.0,9.500000000000002,500.37999999999994,77.87416894313844
2020-05-11,0.0,9.8,490.21999999999997,88.35178440094252
2020-05-12,0.0,4.400000000000001,467.35999999999996,96.84714828564854
2020-05-13,0.0,2.1000000000000005,452.12,87.21906921631506
2020-05-14,10.16,1.8000000000000012,441.9599999999999,76.17509616619724
2020-05-15,2.54,2.3000000000000003,441.9599999999999,69.09562626227556
2020-05-16,0.0,5.1,434.34000000000003,62.582513950667625
2020-05-17,0.0,8.7,424.17999999999995,59.467547192942085
2020-05-18,12.7,4.9,408.94,64.84794431992256
2020-05-19,10.16,1.7000000000000013,398.78,82.97138727396205
2020-05-20,15.239999999999998,1.6000000000000014,396.23999999999995,81.55549329317772
2020-05-21,2.54,1.1999999999999982,406.4,75.60873857388351
2020-05-22,5.08,0.09999999999999985,406.4,68.8124474661187
2020-05-23,0.0,2.4000000000000004,408.94,62.29933515451076
2020-05-24,0.0,4.500000000000001,403.86,57.768474416000885
2020-05-25,0.0,7.8999999999999995,396.23999999999995,55.50304404674595
2020-05-26,2.54,8.7,375.92,59.18436839678522
2020-05-27,0.0,9.8,355.59999999999997,70.5115202430599
2020-05-28,0.0,11.900000000000002,327.65999999999997,85.236817643217
2020-05-29,0.0,14.300000000000002,297.17999999999995,108.17430013192322
2020-05-30,0.0,14.600000000000001,264.15999999999997,141.58939807843353
2020-05-31,0.0,9.700000000000001,228.6,144.98754363231595
2020-06-01,0.0,8.599999999999998,182.88,128.56317345521765
2020-06-02,0.0,10.2,154.93999999999997,103.64343939341335
2020-06-03,0.0,12.3,116.83999999999999,96.56396948949167
2020-06-04,0.0,10.999999999999998,71.11999999999999,93.732181527923
2020-06-05,0.0,15.5,30.479999999999997,89.76767838172687
2020-06-06,10.16,5.899999999999999,17.779999999999998,91.74992995482494
2020-06-07,15.239999999999998,0.29999999999999954,15.239999999999998,91.46675115866806
2020-06-08,5.08,1.1999999999999982,25.4,75.04238098156978
2020-06-09,2.54,5.1,25.4,63.43205033913822
2020-06-10,0.0,9.600000000000001,12.7,56.06940163905968
2020-06-11,0.0,15.1,0.0,52.671256085177276
2020-06-12,0.0,17.5,0.0,55.21986525058908
2020-06-13,7.619999999999999,5.0,0.0,60.03390478525582
2020-06-14,2.54,2.6,0.0,57.48529561984402
2020-06-15,7.619999999999999,5.899999999999999,0.0,51.538540900549805
2020-06-16,17.779999999999998,3.3999999999999986,0.0,51.25536210439294
2020-06-17,15.239999999999998,2.2000000000000006,10.16,58.33483200831461
2020-06-18,0.0,6.400000000000002,20.32,58.05165321215775
2020-06-19,0.0,9.100000000000001,0.0,54.653507658275345
2020-06-20,0.0,12.6,0.0,53.23761367749101
2020-06-21,0.0,12.9,0.0,52.954434881334144
2020-06-22,0.0,13.7,0.0,55.21986525058908
2020-06-23,2.54,15.899999999999999,0.0,54.93668645443221
2020-06-24,0.0,17.7,0.0,54.37032886211848
2020-06-25,0.0,16.2,0.0,51.82171969670667
2020-06-26,0.0,16.0,0.0,48.989931735138
2020-06-27,0.0,14.400000000000002,0.0,45.87496497741247
2020-06-28,0.0,7.1000000000000005,0.0,42.47681942353006
2020-06-29,7.619999999999999,2.4000000000000004,0.0,41.344104238902595
2020-06-30,2.54,5.6,0.0,40.77774664658886
2020-07-01,0.0,8.1,0.0,36.81324350039272
2020-07-02,0.0,10.4,0.0,33.415097946510315
2020-07-03,0.0,13.900000000000002,0.0,31.71602516956911
2020-07-04,0.0,13.900000000000002,0.0,30.30013118878478
2020-07-05,0.0,13.6,0.0,29.450594800314175
2020-07-06,0.0,14.9,0.0,28.601058411843574
2020-07-07,0.0,12.700000000000001,0.0,27.52497898644748
2020-07-08,0.0,10.4,0.0,26.67544259797688
2020-07-09,0.0,13.900000000000002,0.0,25.79758832989059
2020-07-10,0.0,13.7,0.0,24.664873145263122
2020-07-11,0.0,17.200000000000003,0.0,23.702065238329773
2020-07-12,0.0,15.899999999999999,0.0,22.88084672947486
2020-07-13,0.0,12.9,0.0,22.11626397985132
2020-07-14,0.0,11.800000000000002,0.0,21.49327062830621
2020-07-15,0.0,13.7,0.0,20.841959397145416
2020-07-16,0.0,21.0,0.0,20.190648165984623
2020-07-17,0.0,15.899999999999999,0.0,19.567654814439514
2020-07-18,0.0,14.300000000000002,0.0,18.944661462894405
2020-07-19,0.0,14.600000000000001,0.0,18.49157538904342
2020-07-20,0.0,15.0,0.0,18.038489315192432
2020-07-21,0.0,16.2,0.0,17.585403241341446
2020-07-22,0.0,15.200000000000001,0.0,17.302224445184578
2020-07-23,10.16,17.0,0.0,18.151760833655178
2020-07-24,0.0,,0.0,24.183469191796448
2020-07-25,0.0,,0.0,19.397747536745396
2020-07-26,0.0,,0.0,17.868582037498314
2020-07-27,0.0,,0.0,17.01904564902771
2020-07-28,0.0,13.7,0.0,16.50932381594535
2020-07-29,0.0,12.200000000000001,0.0,18.293350231733612
2020-07-30,0.0,,0.0,16.67923109363947
2020-07-31,0.0,20.100000000000005,0.0,15.74474106632181
2020-08-01,0.0,18.9,0.0,15.121747714776701
2020-08-02,0.0,18.400000000000002,0.0,14.781933159388462
2020-08-03,0.0,16.400000000000002,0.0,14.2722113263061
2020-08-04,0.0,14.000000000000002,0.0,13.904078891302174
2020-08-05,0.0,17.1,0.0,13.734171613608053
2020-08-06,0.0,14.9,0.0,13.564264335913933
2020-08-07,0.0,12.000000000000002,0.0,13.281085539757065
2020-08-08,0.0,12.200000000000001,0.0,13.082860382447258
2020-08-09,0.0,12.9,0.0,12.912953104753138
2020-08-10,0.0,12.8,0.0,12.71472794744333
2020-08-11,0.0,14.9,0.0,12.516502790133524
2020-08-12,0.0,13.7,0.0,12.261641873592344
2020-08-13,0.0,12.000000000000002,0.0,12.176688234745285
2020-08-14,0.0,12.6,0.0,11.978463077435476
2020-08-15,0.0,14.9,0.0,11.836873679357044
2020-08-16,0.0,18.000000000000004,0.0,11.610330642431549
2020-08-17,0.0,18.9,0.0,11.610330642431549
2020-08-18,0.0,19.8,0.0,11.298833966658997
2020-08-19,0.0,17.400000000000002,0.0,11.10060880934919
2020-08-20,0.0,14.700000000000001,0.0,11.128926688964876
2020-08-21,0.0,14.400000000000002,0.0,11.015655170502129
2020-08-22,0.0,15.0,0.0,10.902383652039383
2020-08-23,0.0,15.200000000000001,0.0,10.845747892808008
2020-08-24,0.0,15.0,0.0,10.817430013192322
2020-08-25,0.0,14.200000000000001,0.0,11.128926688964876
2020-08-26,0.0,14.700000000000001,0.0,11.497059123968803
2020-08-27,0.0,12.3,0.0,11.666966401662924
2020-08-28,0.0,12.200000000000001,0.0,11.157244568580563
2020-08-29,0.0,13.299999999999999,0.0,10.760794253960949
2020-08-30,0.0,9.8,0.0,10.534251217035456
2020-08-31,0.0,5.899999999999999,0.0,10.420979698572708
2020-09-01,0.0,9.700000000000001,0.0,10.93070153165507
2020-09-02,0.0,13.800000000000002,0.0,10.675840615113888
2020-09-03,0.0,14.9,0.0,10.30770818010996
2020-09-04,0.0,15.799999999999999,0.0,10.081165143184467
2020-09-05,0.0,19.099999999999998,0.0,9.88293998587466
2020-09-06,0.0,16.6,0.0,9.62807906933348
2020-09-07,0.0,11.500000000000002,0.0,9.54312543048642
2020-09-08,0.0,2.6999999999999997,0.0,9.54312543048642
2020-09-09,0.0,5.999999999999999,0.0,9.911257865490347
2020-09-10,0.0,9.100000000000001,0.0,10.024529383953094
2020-09-11,0.0,11.2,0.0,9.911257865490347
2020-09-12,0.0,11.2,0.0,9.797986347027601
